timestamp,action_type,item_id,source,user_answer,platform,datetime,hour,dayofweek,is_answered,action_type_encoded,platform_encoded,source_encoded,recommendation
1565096151269,enter,b3544,diagnosis,No Answer,mobile,2019-08-06 12:55:51.269,12,1,0,0,0,2,Recommend practice exercises or short videos
1565096187972,respond,q5012,diagnosis,b,mobile,2019-08-06 12:56:27.972,12,1,1,2,0,2,Recommend deeper articles or advanced content
1565096194904,submit,b3544,diagnosis,No Answer,mobile,2019-08-06 12:56:34.904,12,1,0,3,0,2,Recommend practice exercises or short videos
1565096195001,enter,b3238,diagnosis,No Answer,mobile,2019-08-06 12:56:35.001,12,1,0,0,0,2,Recommend practice exercises or short videos
1565096218682,respond,q4706,diagnosis,c,mobile,2019-08-06 12:56:58.682,12,1,1,2,0,2,Recommend deeper articles or advanced content
1565096223029,submit,b3238,diagnosis,No Answer,mobile,2019-08-06 12:57:03.029,12,1,0,3,0,2,Recommend practice exercises or short videos
1565096223119,enter,b2898,diagnosis,No Answer,mobile,2019-08-06 12:57:03.119,12,1,0,0,0,2,Recommend practice exercises or short videos
1565096290094,respond,q4366,diagnosis,b,mobile,2019-08-06 12:58:10.094,12,1,1,2,0,2,Recommend deeper articles or advanced content
1565096295925,submit,b2898,diagnosis,No Answer,mobile,2019-08-06 12:58:15.925,12,1,0,3,0,2,Recommend practice exercises or short videos
1565096296012,enter,b3361,diagnosis,No Answer,mobile,2019-08-06 12:58:16.012,12,1,0,0,0,2,Recommend practice exercises or short videos
1565096337361,respond,q4829,diagnosis,a,mobile,2019-08-06 12:58:57.361,12,1,1,2,0,2,Recommend deeper articles or advanced content
1565096341309,submit,b3361,diagnosis,No Answer,mobile,2019-08-06 12:59:01.309,12,1,0,3,0,2,Recommend practice exercises or short videos
1565096341395,enter,b5060,diagnosis,No Answer,mobile,2019-08-06 12:59:01.395,12,1,0,0,0,2,Recommend practice exercises or short videos
1565096395328,respond,q6528,diagnosis,b,mobile,2019-08-06 12:59:55.328,12,1,1,2,0,2,Recommend deeper articles or advanced content
1565096403465,submit,b5060,diagnosis,No Answer,mobile,2019-08-06 13:00:03.465,13,1,0,3,0,2,Recommend practice exercises or short videos
